UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL,cluster,similarity
226116,0.6186440677966102,0.45,0.3336898395721925,1.451366725,4680,Closest Cluster,-0.1106207972263846
122791,0.5958023019634394,0.61,0.3003671408903167,0.677290908,9901,Closest Cluster,-0.1236562883094201
147916,0.6535874439461884,0.32,0.3213828425096031,1.155058767,6014,Closest Cluster,-0.16439008343248976
193283,0.5849952516619183,0.38,0.3802242609582059,1.234814409,5940,Closest Cluster,-0.16873619336202472
366401,0.6687289088863893,0.53,0.2987136731777036,0.773558746,8103,Closest Cluster,-0.19565917251492887
162690,0.6273291925465838,0.39,0.3289377289377289,1.223731159,5085,Closest Cluster,-0.277294091093342
143279,0.6806853582554517,0.4,0.3408710217755444,1.171233589,4001,Closest Cluster,-0.36210437497718523
119331,0.6296900489396411,0.43,0.292130201895344,0.718103606,4844,Closest Cluster,-0.5996508725143701
236656,,0.44,0.4540149393090569,0.997449302,4871,Closest Cluster,-0.6161632741782592
107664,0.5363057324840764,0.36,0.3064594463331714,1.957805976,4478,Intermediate Cluster,0.5292144974605866
101286,0.556657224,0.35,0.3913285158421345,1.827063453,4044,Intermediate Cluster,0.5282506233409392
218991,0.5245283018867924,0.3,0.2765737874097007,2.071255012,4771,Intermediate Cluster,0.5092703470944994
233903,0.5390625,0.4,0.3367952522255193,2.095821223,2082,Intermediate Cluster,0.3400165520855332
219879,0.5135520684736091,0.37,0.3312101910828025,1.927462605,3282,Intermediate Cluster,0.33287732693025446
218858,0.4377880184331797,0.34,0.2411417322834645,2.001123965,2825,Intermediate Cluster,0.1646544610864647
173799,0.5128755364806867,0.24,0.2735191637630662,1.823492712,3804,Intermediate Cluster,0.16430795839672668
161077,0.5048622366288493,0.3,0.3461538461538461,1.61325662,4754,Intermediate Cluster,0.10761354469523565
420440,0.4986876640419947,0.34,0.3370165745856354,1.937348649,1875,Intermediate Cluster,0.0898064724106599
220400,0.5170876671619614,0.26,0.2776659959758551,1.727306186,3518,Intermediate Cluster,0.05568243536478327
161138,0.5351437699680511,0.32,0.3344120819848975,1.767728672,2719,Intermediate Cluster,0.02171798743411385
201672,,0.3,0.3261617900172117,1.700358944,3182,Intermediate Cluster,0.0025873912915988645
238397,0.5555555555555556,0.34,0.4342857142857143,1.723923262,2811,Intermediate Cluster,-0.0005827856613614124
240170,0.4600985221674877,0.34,0.5353185595567868,1.605389142,3625,Intermediate Cluster,-0.016938481289130048
203599,0.5824964131994261,0.24,0.2201098436839881,1.532784328,4358,Intermediate Cluster,-0.03564043067146409
217615,0.4537366548042704,0.34,0.2753846153846154,1.695756918,2307,Intermediate Cluster,-0.09986646761332098
106980,0.4981203007518797,0.35,0.289073305670816,1.737531576,1805,Intermediate Cluster,-0.13197164956510327
224961,,0.33,0.3525,1.685276778,2405,Intermediate Cluster,-0.1563948041053019
146816,0.25,0.11,0.2383177570093458,,310,Intermediate Cluster,-0.17108116275156868
429128,0.5412844036697247,0.0,0.1039861351819757,,868,Intermediate Cluster,-0.1925315071346572
214582,0.3333333333333333,0.21,0.4766118836915297,,810,Intermediate Cluster,-0.19456810534445756
