UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL
156231,0.6301703163017032,0.51,0.5019059720457433,4.443444815,2552
156338,0.6666666666666666,0.58,0.44692737430167595,5.716566086,5825
156648,0.6519507186858317,0.59,0.377008653,5.403593539,6420
157438,0.6788856304985337,0.59,0.4327433628318584,5.690202464,5320
157483,0.6689944134078212,0.5,0.5326842837273992,4.626338066,5274
158088,0.6410256410256411,0.7,0.6517213771016813,5.160168522,1345
158431,0.39054726368159204,0.15,0.23430094786729858,2.907499089,5561
158884,0.4682080924855491,0.27,0.3312043795620438,3.120464888,2819
160579,0.5457102672292545,0.43,0.5142314990512334,2.362323181,3446
160649,0.3798076923076923,0.1,0.18415094339622642,0.685481471,2951
161077,0.5048622366288493,0.3,0.34615384615384615,1.61325662,4754
161138,0.5351437699680511,0.32,0.3344120819848975,1.767728672,2719
161545,0.5488911290322581,0.28,0.2897278314310799,1.48482114,7900
161864,0.3698224852071006,0.17,0.3274087932647334,0.568583296,4375
162557,0.5968543046357616,0.37,0.4546825263863294,1.24949171,7293
162690,0.6273291925465838,0.39,0.32893772893772893,1.223731159,5085
163028,0.6846153846153846,0.68,0.6265270506108203,,1258
165033,0.49483826565726086,0.22,0.29734391169368746,0.983074483,6950
165194,0.5932203389830508,0.22,0.2826825127334465,0.95206294,3260
166407,,,0.6962025316455697,,174
166647,0.5300429184549357,0.17,0.26513122656668453,0.821823786,4578
166823,0.5536529680365296,0.19,0.25928650239058476,0.979786431,5574
166887,0.5110683349374399,0.23,0.23268870867124142,1.059982981,9374
166957,0.5309278350515464,0.24,0.3047238855622089,0.96869633,3694
167312,0.5316606929510155,0.18,0.28211920529801326,0.946725478,5743
167376,0.555045872,0.21,0.22187218721872187,0.884874091,4721
167525,0.5421686746987951,0.15,0.25756798358132377,1.417525651,3022
167534,0.5517241379310345,0.22,0.3189131212012871,1.140673797,7811
167631,0.39906103286384975,0.28,0.5002320185614849,0.369718595,2044
167905,0.5570680628272251,0.32,0.3703125,1.068909143,5447
169275,0.5314443676572218,0.32,0.20924738440769491,1.103109493,6718
170541,0.5691542288557214,0.28,0.21078592568234134,1.052217455,6334
170550,0.5072,0.3,0.17672229353872487,1.487794999,4036
171304,0.5457788347205708,0.28,0.20249017038007863,1.272184905,3617
172291,0.5779816513761468,0.34,0.3112391930835735,1.549733195,3317
172954,0.578125,0.66,0.4326710816777042,3.34737023,1970
172963,0.5284715284715285,0.3,0.25725646123260437,1.457440115,8486
173461,0.5975177304964538,0.42,0.4185893210283454,1.654012432,4074
173708,0.6740331491712708,0.42,0.3748277446026642,1.798148015,4572
173799,0.5128755364806867,0.24,0.2735191637630662,1.823492712,3804
173911,0.5078125,0.39,0.38005159071367156,1.523105169,2731
174136,0.5010141987829615,0.2,0.2592844974446337,1.502175854,6733
174376,0.5444617784711389,0.22,0.2571676802780191,1.453804617,5563
174428,0.566984127,0.27,0.2543188898329085,1.276467291,11026
174738,0.5696551724137932,0.29,0.3090037293553543,1.582081089,5205
174756,0.5918367346938775,0.45,0.3420378904249872,1.824917673,4030
175041,0.5166240409207161,0.4,0.3355172413793103,1.789782995,5198
175315,0.5267452402538532,0.31,0.33652981720107883,1.959597574,8726
179511,0.7777777777777778,0.53,,,153
180249,0.524390244,0.34,0.3613013698630137,1.515991211,1502
180276,0.5052083333333334,0.33,0.3795309168443497,1.439248112,1554
180902,0.6289308176100629,0.48,0.5020479812755998,1.647259701,6927
181640,0.6428985507246376,0.38,0.34303112313937756,1.122497229,10816
183132,0.5689277899343544,0.41,0.30726698262243285,1.25771489,2081
183141,0.5664335664335665,0.38,0.31151832460732987,1.17070144,1342
183150,0.5874587458745875,0.34,0.34647302904564314,1.588811853,1462
183248,,1,0.9438202247191011,,95
183488,,0.43,0.6,,1171
183600,0.9230769230769231,1,0.8611111111111112,,30
184180,0.7110460863204097,0.36,0.36945996275605214,1.329904403,6131
184205,0.5904,0.33,0.39143730886850153,1.290851532,2686
184481,0.5101596516690856,0.2,0.21845924823222926,1.223490832,7026
184791,0.609375,0.39,0.3144314431443144,1.548425113,5218
185721,0.7192982456140351,0.57,0.6543535620052771,,618
185873,0.6306720275703619,0.42,0.41530054644808745,1.799372006,7095
186034,0.546772069,0.19,0.17572463768115942,0.949014753,4782
186469,0.6309523809523809,0.4,0.43112244897959184,1.540681858,1135
187620,0.5931495405179615,0.19,0.2604834731129748,1.707413645,7200
188438,0.582089552,0.37,0.344311377,0.981445728,2576
188687,0.4166666666666667,0.25,0.36713286713286714,,270
188942,,0.77,0.8434782608695652,,254
